Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
47,Jan Preuß,preusscomedy,https://www.tiktok.com/@preusscomedy,Ein iPhone 11? Wie wenig nachhaltig ist das denn, Frau Baerbock?,03.09.21,43,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/ccc06b4230ae1100a1569062dd424337~c5_100x100.jpg?x-expires=1702054800&x-signature=3dWyLEH%2F4aS9vR40Rr9JOQCnBuE%3D,No,---,0
48,Papa TomTom,tomtom_junior_live,https://www.tiktok.com/@tomtom_junior_live,Sie kann ja nichts dafür, aber die Stimme ist zum davonlaufen. Stelle mir das so schön vor mit Putin, Biden und Co. Die wollen schnell ein Ende finden,02.09.21,14,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b1f039f5ca471a880174dbb634278f8c~c5_100x100.jpg?x-expires=1702054800&x-signature=gSxZyHpGSRolZV28wMrshFljrrg%3D,No,---,0
49,🏃🏽‍♀️,justnhk,https://www.tiktok.com/@justnhk,sie ist so sympathisch omfg,02.09.21,56,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b4c7ed49cea294eafc022ad1cde1e478~c5_100x100.jpg?x-expires=1702054800&x-signature=dsxxwsheA1Vj8xzGgI%2BgKkebwWw%3D,No,---,0
50,n1c019_,n1c019__,https://www.tiktok.com/@n1c019__,Annalena Bärencock,22.09.21,5,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/3a03e37dad46c6182ce6ace4223ca403~c5_100x100.jpg?x-expires=1702054800&x-signature=01vPRzmkNu5ah3R8Cqk6PMDLINY%3D,No,---,0
51,...,maurice_z19,https://www.tiktok.com/@maurice_z19,Handy ist auch umweltschädlich,02.09.21,22,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1689672897897473.jpg?x-expires=1702054800&x-signature=Peu3JUBPFiMbXyYzIMG3LLhlxGc%3D,No,---,0
52,perry ja,barryiskul,https://www.tiktok.com/@barryiskul,Kommt drauf an, mit wem ich so SIMSE😌😌😌😌,02.09.21,31,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/30c130f0b84639a12dd29931f7b4edcc~c5_100x100.jpg?x-expires=1702054800&x-signature=pfFYaPsv1qFoAoCMB9zfOPmKhrY%3D,No,---,0
53,jstn!,justin.dnm,https://www.tiktok.com/@justin.dnm,💚💚💚,02.09.21,12,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/1e8e628cb8da803870be419133656f6f~c5_100x100.jpg?x-expires=1702054800&x-signature=ONY6es85Ecz%2FsRM42v1acnP6xSk%3D,No,---,0
54,Eisenbahn TV und vieles mehr,trainspotterpaul,https://www.tiktok.com/@trainspotterpaul,Kommt auch noch ein Video mit Laschet,02.09.21,48,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0912e59361cdc55bc97a2c49ca7b200b~c5_100x100.jpg?x-expires=1702054800&x-signature=lKgqOMW9Zi64eHy7esxJ8QUkspQ%3D,No,---,1
55,FUNKE · Creator*in,funke,https://www.tiktok.com/@funke,Yeeeees!,03.09.21,27,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/01929241d015932ff41aae7f38d76dfa~c5_100x100.jpeg?x-expires=1702141200&x-signature=2hqman56n8KumCKnDS5HTqJOnv4%3D,Yes,Eisenbahn TV und vieles mehr,0
56,ᒪ𝑒𝑜𝑛𝑖𝑒ꨄ,leonieesophia,https://www.tiktok.com/@leonieesophia,@weiszmalia was für simmse,25.09.21,0,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/592ef8b80bee6dec34a0e461d1e3d116~c5_100x100.jpg?x-expires=1702054800&x-signature=jbVYhZLryiLrvtmOKBDbbXVrQww%3D,No,---,0
57,Anna (Taylor's Version),just._.anna.__,https://www.tiktok.com/@just._.anna.__,Also no joke, sie ist ja wirklich sympathisch, aber die Grünen sind jetzt nicht unbedingt meine lieblings Partei haha,15.09.21,5,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/841428b7427b9da028819c092a6c408e~c5_100x100.jpg?x-expires=1702054800&x-signature=LWeDp2D0qyoC9Q%2FLLtalbSE4rV0%3D,No,---,0
58,Kobe,skobe4,https://www.tiktok.com/@skobe4,die hat so einwneig die Stimmenlagebvon amthor,04.09.21,34,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/60ee0b4bb7fd3fe01854ce8918ef9934~c5_100x100.jpg?x-expires=1702054800&x-signature=K3gR7DciQTaIqimUZYtVPponyjw%3D,No,---,0
59,Un#teilbar,lilly...1512,https://www.tiktok.com/@lilly...1512,@bella_meme123 Kommt immer drauf an mit wem ich so simse wenn ich mit meinen Kindern simse ist Sa viel Einhorn dabei🦄,12.10.21,14,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ac89fe6139c94bd8550948c35e183687~c5_100x100.jpg?x-expires=1702054800&x-signature=zEauDnS7Z5bxMzMixsqMAY21UsU%3D,No,---,0
60,Niklas,meme.junkie,https://www.tiktok.com/@meme.junkie,ich stell mir gerade vor was passiert wenn die Tochter nen Freund hat der nen Verbrennungsmotor hat 😂😂,03.09.21,34,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5d5bc30475880cbfeff1b592f63dcf5f~c5_100x100.jpg?x-expires=1702054800&x-signature=Pdgjm6XLYwbt%2BfhYz9dJkKE2ck4%3D,No,---,0
61,Michelle🪽,xmiche.lle,https://www.tiktok.com/@xmiche.lle,sympathisch aber leider in der falschen Partei,23.09.21,5,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/d74a6d8eb32d1c80edd373f7af2acd58~c5_100x100.jpg?x-expires=1702054800&x-signature=yXBIB1QnO1y1%2Bq933ErlSqXeqd0%3D,No,---,0
62,Cem,fcb_cem2007,https://www.tiktok.com/@fcb_cem2007,ich liebe dies frau🟩,09.09.21,4,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/597800ab6214d2104f75f939c9ef0ac7~c5_100x100.jpg?x-expires=1702054800&x-signature=jSswuFxHdWSEHO5yPKYUtliR5zE%3D,No,---,0
63,lea,lea_slmr,https://www.tiktok.com/@lea_slmr,@ambilee wie süß is sie denn haha,06.10.21,6,https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/ea9ede11ad390800dfc6e0005242998e~c5_100x100.jpg?x-expires=1702054800&x-signature=LQXAk8UxXXu5tbZ5rflyAJbxXKM%3D,No,---,0
64,scsMai,scs.mai,https://www.tiktok.com/@scs.mai,"""simsen"" ich glaub auch digga",23.09.21,32,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/af807c093059d7ac19dd2c2c20c73c31~c5_100x100.jpg?x-expires=1702054800&x-signature=Vk2WB9VufV6z0J50eZHTkYkNOkY%3D,No,---,0
65,Jacqueline|Momlife|Abnehmen,die.jacqueline95,https://www.tiktok.com/@die.jacqueline95,@diese.doro0 iwie sieht sie dir beim Lächeln ähnlich. 😃,28.09.21,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/937761025e171374896c2bd74e03778c~c5_100x100.jpg?x-expires=1702054800&x-signature=q7pXOoBAGFT%2B%2F0P0hE2PrZxiFyA%3D,No,---,0
66,.,itz_nikx,https://www.tiktok.com/@itz_nikx,Die beste,08.09.21,8,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/bdc9db98711fd5ba21baaf09509596d0~c5_100x100.jpg?x-expires=1702054800&x-signature=UczabzDqBfH2HXYNeWXW9RFHMeI%3D,No,---,0
67,S1m0n,sollhierrein,https://www.tiktok.com/@sollhierrein,Alle 14 15 jährigen hm ne nicht grüne aber die sind unsere zukunft in der Partei sind noch alle jung ich sehe nichts schlechtes an der patei,14.09.21,4,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1702054800&x-signature=3BIf08pZxVHHGSPR9mjSbc6v7zQ%3D,No,---,0
68,fabienne,lobster1ou,https://www.tiktok.com/@lobster1ou,@t1zz11 wieso redet sie wie amthor,18.09.21,2,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9048a457506d36d00abeb0bd8903afd3~c5_100x100.jpg?x-expires=1702054800&x-signature=8X9PQfjpqCkzNC8C0XYwpCbop4I%3D,No,---,0
69,Mateo🇭🇷,madelamudulu,https://www.tiktok.com/@madelamudulu,@monke32 sie ist wie Feline,29.09.21,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7956ddeaccf654af4d346f438dd481d2~c5_100x100.jpg?x-expires=1702054800&x-signature=dQREZX5wODEqbv34QDMNs35bH7Q%3D,No,---,0
70,🦧🦍,dogghoes,https://www.tiktok.com/@dogghoes,Wieso mögen soviele nd die grünen? (Ich will es wirklich wissen weil jeder hatet 😅),02.09.21,9,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/bc31939b3beef3489268f8539507ad9a~c5_100x100.jpg?x-expires=1702054800&x-signature=MPjzN4d0AUWUhI3akCZNzX4nkns%3D,No,---,0
71,𝖗𝖔𝖑𝖑𝖚,rollu01,https://www.tiktok.com/@rollu01,@sophiaa.ils die gude,22.09.21,5,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2f603a231a04a2455eb0aaf2be5083ce~c5_100x100.jpg?x-expires=1702054800&x-signature=2tAMzU4MM1nqnsPRKeBLJnr8tQU%3D,No,---,0
